seqnames start end strand gene_id
7012 chr18 36628635 36647381 + ENSDARG00000036291
7013 chr14 33816791 33820242 - ENSDARG00000036292
7014 chr5 16925926 16987424 - ENSDARG00000036293
7015 chr1 55448305 55471323 + ENSDARG00000036295
7016 chr7 28167183 28169871 + ENSDARG00000036298
7017 chr7 28151103 28164325 - ENSDARG00000036299
7018 chr24 38407252 38414250 - ENSDARG00000036304
7019 chr7 27740837 27753033 - ENSDARG00000036305
7020 chr16 57289608 57304363 - ENSDARG00000036308
7021 chr14 34306764 34309051 - ENSDARG00000036316
7022 chr14 34388966 34390425 + ENSDARG00000036329
7023 chr14 34490501 34496057 - ENSDARG00000036335
7024 chr18 6772525 6789193 + ENSDARG00000036337
7025 chr10 30642285 30659812 - ENSDARG00000036338
7026 chr7 25848369 25867076 - ENSDARG00000036344
7027 chr7 25881931 25886746 - ENSDARG00000036345
7028 chr10 102538 107648 + ENSDARG00000036359
7029 chr1 54512688 54520286 + ENSDARG00000036371
7030 chr14 35070890 35131017 - ENSDARG00000036375
7031 chr7 23783303 23793944 + ENSDARG00000036376
7032 chr7 23934769 23940223 + ENSDARG00000036382
7033 chr14 34847527 34882047 + ENSDARG00000036383
7034 chr14 34983953 34988920 + ENSDARG00000036385
7035 chr7 23968556 23973894 + ENSDARG00000036386
7036 chr19 18571723 18607840 - ENSDARG00000036387
7037 chr19 18485345 18497749 + ENSDARG00000036388
7038 chr7 23055800 23056998 + ENSDARG00000036394
7039 chr11 44145729 44210549 - ENSDARG00000036402
7040 chr19 9714209 9729599 + ENSDARG00000036412
7041 chr7 21305107 21381548 + ENSDARG00000036414
7042 chr1 52956731 52973409 + ENSDARG00000036415
7043 chr7 21551024 21580127 + ENSDARG00000036420
7044 chr7 21590796 21603978 - ENSDARG00000036422
7045 chr11 43996481 44000228 - ENSDARG00000036424
7046 chr7 21675814 21679204 + ENSDARG00000036426
7047 chr7 21681660 21688043 + ENSDARG00000036427
7048 chr11 41607550 41613668 - ENSDARG00000036428
7049 chr7 21802773 21809332 + ENSDARG00000036430
7050 chr6 117518 119391 + ENSDARG00000036433
7051 chr19 9834567 9851048 + ENSDARG00000036438
7052 chr14 33382642 33500892 - ENSDARG00000036442
7053 chr7 22441345 22478600 + ENSDARG00000036445
7054 chr25 3531545 3542010 - ENSDARG00000036446
7055 chr12 21218753 21432123 + ENSDARG00000036451
7056 chr10 42533962 42567602 + ENSDARG00000036456
7057 chr19 10409258 10420784 + ENSDARG00000036457
7058 chr10 42627246 42635288 + ENSDARG00000036458
7059 chr14 32636050 32647291 + ENSDARG00000036460
7060 chr10 42681454 42717174 - ENSDARG00000036462
7061 chr7 21968690 21974760 - ENSDARG00000036463
7062 chr9 55348132 55390327 - ENSDARG00000036468
7063 chr1 52320998 52323243 + ENSDARG00000036471
7064 chr7 27241972 27248330 - ENSDARG00000036473
7065 chr1 50016608 50020058 + ENSDARG00000036479
7066 chr5 28440014 28450649 + ENSDARG00000036481
7067 chr12 16412072 16413832 - ENSDARG00000036482
7068 chr2 4089628 4092270 + ENSDARG00000036483
7069 chr7 41476368 41484742 + ENSDARG00000036489
7070 chr7 41486722 41493869 + ENSDARG00000036493
7071 chr1 50458790 50572686 + ENSDARG00000036494
7072 chr23 42101674 42236811 + ENSDARG00000036496
7073 chr7 25032427 25040264 - ENSDARG00000036499
7074 chr14 32399837 32415255 + ENSDARG00000036500
7075 chr7 25042360 25051755 + ENSDARG00000036501
7076 chr7 25074783 25083209 + ENSDARG00000036505
7077 chr22 12272620 12286847 + ENSDARG00000036510
7078 Zv9_scaffold3487 178385 204959 - ENSDARG00000036524
7079 chr3 55748003 55844699 - ENSDARG00000036541
7080 chr1 47457343 47481249 - ENSDARG00000036542
7081 chr1 47443007 47454458 + ENSDARG00000036545
7082 chr1 47385140 47421908 - ENSDARG00000036546
7083 chr3 55468476 55469588 - ENSDARG00000036548
7084 chr1 47334956 47372600 - ENSDARG00000036549
7085 chr9 42894656 43052548 + ENSDARG00000036558
7086 chr7 24728126 24729100 - ENSDARG00000036560
7087 chr6 22265935 22268482 - ENSDARG00000036567
7088 chr17 15515291 15583377 + ENSDARG00000036569
7089 Zv9_NA880 20080 23231 + ENSDARG00000036570
7090 chr18 8947554 9030612 + ENSDARG00000036571
7091 chr8 42272846 42276824 - ENSDARG00000036572
7092 chr11 37968932 37985349 + ENSDARG00000036573
7093 chr7 20558899 20577861 - ENSDARG00000036575
7094 chr24 40734284 40751751 + ENSDARG00000036577
7095 chr21 5448767 5485011 + ENSDARG00000036584
7096 chr1 47662949 47670284 + ENSDARG00000036587
7097 chr1 47652531 47659103 - ENSDARG00000036588
7098 chr1 47603375 47611426 - ENSDARG00000036592
7099 chr8 42291602 42314330 - ENSDARG00000036593
7100 chr1 37162968 37212687 + ENSDARG00000036595
7101 chr6 312002 314397 - ENSDARG00000036612
7102 chr6 129499 133681 + ENSDARG00000036613
7103 chr23 36699416 36701702 + ENSDARG00000036616
7104 chr6 150736 153630 + ENSDARG00000036619
7105 chr3 2570661 2580119 - ENSDARG00000036625
7106 chr2 49802559 49912504 + ENSDARG00000036626
7107 chr21 32377028 32381287 - ENSDARG00000036628
7108 chr21 32382381 32386664 - ENSDARG00000036629
7109 chr8 51571629 51606232 - ENSDARG00000036630
7110 chr1 47157320 47161104 - ENSDARG00000036636
7111 chr1 47149722 47151635 + ENSDARG00000036637
7112 chr1 47132343 47147148 - ENSDARG00000036645
7113 chr1 47114113 47130073 - ENSDARG00000036650
7114 chr1 47095609 47114390 + ENSDARG00000036658
7115 chr10 8719515 8721601 + ENSDARG00000036670
7116 chr25 20581543 20588410 + ENSDARG00000036671
7117 chr23 36358083 36361962 + ENSDARG00000036675
7118 chr7 19919819 19927268 - ENSDARG00000036678
7119 chr8 49963315 49970986 + ENSDARG00000036684
7120 chr9 24267578 24276029 - ENSDARG00000036685
7121 chr1 47828751 47907556 + ENSDARG00000036687
7122 chr23 36033383 36054826 - ENSDARG00000036695
7123 chr19 10823706 10836801 - ENSDARG00000036698
7124 chr6 6906269 6909861 - ENSDARG00000036700
7125 chr23 35693605 35700544 - ENSDARG00000036704
7126 Zv9_scaffold3471 94943 164739 - ENSDARG00000036707
7127 chr19 11849228 11856250 + ENSDARG00000036713
7128 chr19 11932636 11942505 + ENSDARG00000036715
7129 chr19 11453208 11463761 + ENSDARG00000036721
7130 chr19 11359996 11393404 - ENSDARG00000036722
7131 chr19 11156498 11159896 + ENSDARG00000036728
7132 chr7 18554400 18556108 - ENSDARG00000036743
7133 chr7 18117420 18118175 + ENSDARG00000036745
7134 chr7 18593444 18598554 + ENSDARG00000036748
7135 chr7 18072636 18074726 - ENSDARG00000036749
7136 chr11 21264070 21266548 - ENSDARG00000036750
7137 chr7 18063308 18066034 - ENSDARG00000036751
7138 chr7 18036974 18040912 - ENSDARG00000036752
7139 chr23 31596667 31611386 - ENSDARG00000036754
7140 chr1 36454193 36480262 - ENSDARG00000036755
7141 chr19 8421572 8427668 + ENSDARG00000036764
7142 chr19 8304645 8313511 - ENSDARG00000036767
7143 chr19 8249606 8255598 + ENSDARG00000036772
7144 chr19 8218460 8231822 + ENSDARG00000036773
7145 chr1 41582558 41668886 - ENSDARG00000036774
7146 chr17 31776302 31778181 - ENSDARG00000036775
7147 chr23 31991183 32002332 - ENSDARG00000036776
7148 chr23 32006996 32048807 - ENSDARG00000036778
7149 chr17 31665745 31670802 - ENSDARG00000036781
7150 chr23 17273678 17284810 + ENSDARG00000036784
7151 chr23 33551402 33564661 - ENSDARG00000036785
7152 chr19 7746873 7753954 + ENSDARG00000036787
7153 chr23 17182172 17272078 - ENSDARG00000036791
7154 chr17 52523243 52583086 + ENSDARG00000036793
7155 chr7 16142256 16173961 - ENSDARG00000036809
7156 chr8 27263140 27280254 + ENSDARG00000036811
7157 chr16 12386120 12425466 + ENSDARG00000036815
7158 chr19 6835974 6925393 - ENSDARG00000036816
7159 chr8 27226092 27234248 + ENSDARG00000036818
7160 chr8 27145503 27179444 + ENSDARG00000036820
7161 chr23 32600664 32629321 - ENSDARG00000036826
7162 chr14 17321504 17322696 - ENSDARG00000036829
7163 chr19 5986769 6004973 - ENSDARG00000036830
7164 chr23 32547393 32572787 - ENSDARG00000036831
7165 chr19 5980624 5982658 - ENSDARG00000036832
7166 chr9 16478434 16489623 + ENSDARG00000036833
7167 chr19 5974115 5976185 - ENSDARG00000036834
7168 chr11 11637154 11764765 - ENSDARG00000036840
7169 chr3 61357093 61408890 + ENSDARG00000036844
7170 chr3 61411413 61422272 - ENSDARG00000036846
7171 chr15 27717707 27757596 + ENSDARG00000036848
7172 chr19 47005864 47012463 - ENSDARG00000036851
7173 chr3 61442677 61451052 - ENSDARG00000036852
7174 chr3 61457723 61510047 - ENSDARG00000036853
7175 chr23 32250347 32258777 + ENSDARG00000036855
7176 chr12 29925906 30085776 - ENSDARG00000036863
7177 chr23 1084886 1115886 + ENSDARG00000036864
7178 chr23 31846838 31871889 - ENSDARG00000036865
7179 chr23 31835020 31843886 + ENSDARG00000036868
7180 chr23 31792848 31794275 - ENSDARG00000036869
7181 chr7 14318672 14339050 + ENSDARG00000036870
7182 chr23 31670535 31674501 + ENSDARG00000036875
7183 chr23 31665072 31675103 - ENSDARG00000036876
7184 chr23 31644076 31662308 + ENSDARG00000036878
7185 chr25 28581636 28602467 - ENSDARG00000036888
7186 chr7 9077451 9150920 - ENSDARG00000036893
7187 chr23 44855060 44872092 + ENSDARG00000036894
7188 chr9 53975568 53979084 + ENSDARG00000036895
7189 chr23 44875565 44889707 + ENSDARG00000036897
7190 Zv9_NA918 14511 42259 + ENSDARG00000036900
7191 chr23 31483974 31487531 + ENSDARG00000036903
7192 chr21 3967143 4021959 - ENSDARG00000036911
7193 chr19 3938959 3943951 - ENSDARG00000036912
7194 chr21 4072102 4076458 - ENSDARG00000036913
7195 chr21 4260253 4276928 - ENSDARG00000036915
7196 chr19 178137 180886 + ENSDARG00000036924
7197 chr19 181745 187045 + ENSDARG00000036929
7198 chr23 31346264 31356950 + ENSDARG00000036930
7199 chr19 320356 327394 + ENSDARG00000036940
7200 chr19 6894 335446 - ENSDARG00000036942
7201 chr19 339926 350209 - ENSDARG00000036943
7202 chr19 351956 354050 + ENSDARG00000036944
7203 chr23 31097665 31129429 + ENSDARG00000036952
7204 chr23 30968700 30991132 + ENSDARG00000036956
7205 chr1 42153362 42200304 - ENSDARG00000036965
7206 chr3 32880922 32915226 + ENSDARG00000036966
7207 chr1 42231672 42248506 + ENSDARG00000036967
7208 chr17 53818787 53820948 + ENSDARG00000036968
7209 chr10 162944 166288 + ENSDARG00000036974
7210 chr25 5933586 5981564 + ENSDARG00000036985
7211 chr16 17749945 17767770 - ENSDARG00000036987
7212 chr1 40175765 40221985 - ENSDARG00000036990
7213 chr23 25519750 25575005 + ENSDARG00000036993
7214 chr3 18166337 18227786 + ENSDARG00000036994
7215 chr1 35902876 35912115 + ENSDARG00000036995
7216 chr6 7361714 7369374 + ENSDARG00000036998
7217 chr8 53353446 53416235 + ENSDARG00000036999
7218 chr6 7345428 7355399 - ENSDARG00000037000
7219 chr1 35694008 35706512 + ENSDARG00000037002
7220 chr4 30196714 30197993 - ENSDARG00000037005
7221 chr21 26071971 26085446 - ENSDARG00000037008
7222 chr21 26103288 26108757 - ENSDARG00000037009
7223 chr21 26114856 26119364 + ENSDARG00000037012
7224 chr23 29750207 29796583 - ENSDARG00000037017
7225 chr1 35202952 35317774 + ENSDARG00000037018
7226 chr23 29639078 29748537 - ENSDARG00000037020
7227 chr1 36643724 36936660 - ENSDARG00000037025
7228 chr23 29201901 29246807 - ENSDARG00000037030
7229 chr20 9864825 9875497 + ENSDARG00000037033
7230 chr20 9944195 9957165 + ENSDARG00000037038
7231 chr20 9957221 9961748 - ENSDARG00000037040
7232 chr20 9962763 10004641 + ENSDARG00000037042
7233 chr20 9653103 9747690 + ENSDARG00000037046
7234 chr6 18615567 18616604 - ENSDARG00000037048
7235 chr2 5734448 5746425 - ENSDARG00000037056
7236 chr6 9467748 9481750 - ENSDARG00000037057
7237 chr6 9485157 9531387 + ENSDARG00000037059
7238 chr23 27997621 28036519 + ENSDARG00000037060
7239 chr2 5709761 5734452 + ENSDARG00000037061
7240 chr23 27981229 27989699 + ENSDARG00000037062
7241 chr20 4811482 4835170 - ENSDARG00000037064
7242 chr20 4835236 4855818 + ENSDARG00000037066
7243 chr23 27937272 27943198 - ENSDARG00000037067
7244 chr23 27923651 27935810 - ENSDARG00000037068
7245 chr20 4869455 4925393 - ENSDARG00000037069
7246 chr20 4927018 4938075 + ENSDARG00000037070
7247 chr23 27916218 27921487 + ENSDARG00000037071
7248 chr20 5106988 5112044 + ENSDARG00000037073
7249 chr13 1073 5966 + ENSDARG00000037079
7250 chr7 69540786 69648797 + ENSDARG00000037084
7251 chr14 31142520 31147608 + ENSDARG00000037091
7252 chr5 72535519 72561524 - ENSDARG00000037094
7253 chr14 31118642 31259774 - ENSDARG00000037097
7254 chr1 28142182 28159035 + ENSDARG00000037099
7255 chr1 28071591 28094992 + ENSDARG00000037100
7256 chr14 31268175 31281770 + ENSDARG00000037101
7257 chr14 31420559 31426756 - ENSDARG00000037108
7258 chr1 27829555 27880976 - ENSDARG00000037109
7259 chr13 31027969 31043317 + ENSDARG00000037116
7260 chr5 72059300 72072286 - ENSDARG00000037121
7261 chr14 30254793 30628142 + ENSDARG00000037122
7262 chr23 26304566 26325308 + ENSDARG00000037140
7263 chr14 30645031 30664818 + ENSDARG00000037142
7264 chr1 28704918 28709300 + ENSDARG00000037144
7265 chr7 60672958 60716940 + ENSDARG00000037145
7266 chr21 20642429 20643346 + ENSDARG00000037147
7267 chr14 191878 199640 - ENSDARG00000037150
7268 chr23 26366806 26381517 + ENSDARG00000037153
7269 chr16 36738743 36759371 - ENSDARG00000037154
7270 chr23 26296605 26297715 + ENSDARG00000037155
7271 chr16 36602962 36612351 - ENSDARG00000037158
7272 chr16 36578184 36591609 + ENSDARG00000037159
7273 chr5 1835389 1843215 + ENSDARG00000037172
7274 chr14 29446724 29452821 - ENSDARG00000037174
7275 chr7 59424464 59431828 + ENSDARG00000037176
7276 chr1 28711965 28743147 + ENSDARG00000037177
7277 chr1 28776999 28806135 + ENSDARG00000037178
7278 chr5 1529005 1540184 - ENSDARG00000037182
7279 chr16 5853368 5860644 + ENSDARG00000037183
7280 chr16 5779255 5780946 - ENSDARG00000037186
7281 chr16 5691316 5714695 - ENSDARG00000037188
7282 chr20 6259752 6265755 + ENSDARG00000037190
7283 chr20 6193301 6208810 + ENSDARG00000037191
7284 chr14 29550275 29554685 - ENSDARG00000037192
7285 chr20 6088164 6131075 + ENSDARG00000037195
7286 chr12 8926219 9140030 + ENSDARG00000037196
7287 chr9 886631 890466 - ENSDARG00000037199
7288 chr9 733625 741273 + ENSDARG00000037203
7289 chr10 45653037 45661767 + ENSDARG00000037229
7290 chr14 27476298 27507294 - ENSDARG00000037238
7291 chr14 27448325 27459799 + ENSDARG00000037244
7292 chr1 25636897 25642460 - ENSDARG00000037245
7293 chr14 27404412 27409599 - ENSDARG00000037246
7294 chr1 26545323 26552937 + ENSDARG00000037253
7295 chr1 24895811 24905974 - ENSDARG00000037256
7296 chr1 24981862 24985819 + ENSDARG00000037259
7297 chr1 24987781 24992076 + ENSDARG00000037260
7298 chr1 24993612 25010525 + ENSDARG00000037261
7299 chr1 25011641 25013679 - ENSDARG00000037262
7300 chr1 24774991 24794079 - ENSDARG00000037266
7301 chr23 26973869 26991915 + ENSDARG00000037267
7302 chr1 24595167 24607288 - ENSDARG00000037276
7303 chr1 24554198 24555439 + ENSDARG00000037278
7304 chr1 24527199 24536783 - ENSDARG00000037281
7305 chr1 24508317 24524004 + ENSDARG00000037283
7306 chr23 27292556 27300635 + ENSDARG00000037284
7307 chr23 27308862 27313411 + ENSDARG00000037285
7308 chr1 24458229 24506039 - ENSDARG00000037286
7309 chr14 25267556 25277469 - ENSDARG00000037291
7310 chr14 25258226 25262419 + ENSDARG00000037292
7311 chr14 24613443 24617934 + ENSDARG00000037307
7312 chr1 23377312 23415647 - ENSDARG00000037309
7313 chr23 24514179 24521254 - ENSDARG00000037318
7314 chr23 24588217 24606451 - ENSDARG00000037320
7315 chr23 23476179 23508741 + ENSDARG00000037324
7316 chr13 1003649 1013072 + ENSDARG00000037334
7317 chr13 961843 968918 + ENSDARG00000037337
7318 chr2 52451957 52511984 + ENSDARG00000037341
7319 chr2 52446230 52447144 - ENSDARG00000037342
7320 chr2 52321434 52327552 + ENSDARG00000037345
7321 chr11 24910200 24947336 - ENSDARG00000037346
7322 chr1 22043597 22048598 - ENSDARG00000037350
7323 chr25 35791638 35804337 - ENSDARG00000037353
7324 chr3 12810502 12818015 + ENSDARG00000037356
7325 chr12 1235498 1251201 - ENSDARG00000037357
7326 chr12 1211473 1231515 - ENSDARG00000037358
7327 chr12 1197378 1207471 + ENSDARG00000037359
7328 chr12 1179851 1187204 - ENSDARG00000037361
7329 chr7 29905552 29947400 - ENSDARG00000037362
7330 chr7 29801268 29885677 - ENSDARG00000037363
7331 chr2 7482658 7495864 - ENSDARG00000037371
7332 chr23 22097552 22240745 - ENSDARG00000037373
7333 chr1 21619319 21625575 - ENSDARG00000037378
7334 chr1 20560788 20650521 + ENSDARG00000037383
7335 chr20 47612656 47670957 + ENSDARG00000037388
7336 chr3 28869936 28901614 - ENSDARG00000037390
7337 chr14 23105468 23111983 - ENSDARG00000037392
7338 chr14 23079858 23101249 + ENSDARG00000037393
7339 chr14 22983713 23018499 - ENSDARG00000037397
7340 chr14 22937598 22947677 + ENSDARG00000037398
7341 chr15 18568637 18575408 - ENSDARG00000037402
7342 chr15 18550704 18566717 + ENSDARG00000037403
7343 chr15 18951710 18965512 + ENSDARG00000037405
7344 chr1 20278502 20321325 - ENSDARG00000037406
7345 chr14 22909158 22926271 + ENSDARG00000037408
7346 chr1 20095811 20104128 - ENSDARG00000037409
7347 chr1 20092032 20095242 + ENSDARG00000037410
7348 chr1 20025482 20080394 - ENSDARG00000037411
7349 chr24 8962741 9068778 + ENSDARG00000037415
7350 chr14 22333789 22337652 - ENSDARG00000037421
7351 chr24 40126163 40158383 - ENSDARG00000037422
7352 chr14 22239949 22243502 + ENSDARG00000037423
7353 chr19 9229419 9230809 + ENSDARG00000037425
7354 chr19 9303116 9354573 - ENSDARG00000037427
7355 chr1 19514406 19607327 - ENSDARG00000037429
7356 chr23 20110969 20120304 - ENSDARG00000037432
7357 chr14 21157744 21192546 + ENSDARG00000037433
7358 Zv9_NA248 879 4615 + ENSDARG00000037448
7359 chr1 19337371 19375082 - ENSDARG00000037455
7360 chr16 28383735 28391552 - ENSDARG00000037473
7361 chr8 39593641 39594597 - ENSDARG00000037475
7362 chr8 39407720 39495089 - ENSDARG00000037476
7363 chr7 42291449 42389664 + ENSDARG00000037478
7364 chr1 18391440 18407669 + ENSDARG00000037484
7365 chr1 18450403 18498254 + ENSDARG00000037487
7366 chr14 14115111 14159260 - ENSDARG00000037488
7367 chr7 53223523 53230868 - ENSDARG00000037491
7368 chr14 15029493 15032186 + ENSDARG00000037495
7369 chr15 43380826 43580937 - ENSDARG00000037496
7370 chr14 12794954 13095265 - ENSDARG00000037498
7371 chr15 43321775 43347318 - ENSDARG00000037501
7372 chr14 12650119 12744835 + ENSDARG00000037503
7373 chr14 12335034 12364816 - ENSDARG00000037506
7374 chr14 12367748 12387250 + ENSDARG00000037507
7375 chr14 12437128 12464078 + ENSDARG00000037514
7376 chr23 20719938 20800504 + ENSDARG00000037517
7377 chr23 20661891 20663818 - ENSDARG00000037526
7378 chr23 20645797 20651691 - ENSDARG00000037527
7379 chr20 6638239 6645912 + ENSDARG00000037528
7380 chr20 6621502 6637441 - ENSDARG00000037532
7381 chr20 6598627 6621518 + ENSDARG00000037533
7382 chr23 20257506 20265764 - ENSDARG00000037537
7383 chr23 20398636 20401146 + ENSDARG00000037539
7384 chr1 16993230 17078773 - ENSDARG00000037545
7385 chr16 18626478 18639394 + ENSDARG00000037550
7386 chr23 18191646 18201121 - ENSDARG00000037551
7387 chr14 9916307 10520480 - ENSDARG00000037553
7388 chr23 20957699 20972636 + ENSDARG00000037554
7389 chr14 9679437 9694510 - ENSDARG00000037555
7390 chr14 9653589 9671366 + ENSDARG00000037556
7391 chr14 9438059 9453378 - ENSDARG00000037558
7392 chr23 20929034 20953171 + ENSDARG00000037559
7393 chr7 26973882 26980468 + ENSDARG00000037560
7394 Zv9_NA132 11656 36096 - ENSDARG00000037566
7395 chr14 9166818 9174853 - ENSDARG00000037570
7396 chr14 9036954 9091908 + ENSDARG00000037574
7397 chr1 13257425 13258486 + ENSDARG00000037576
7398 chr11 20044835 20114564 - ENSDARG00000037587
7399 chr23 17826508 17828066 - ENSDARG00000037588
7400 chr23 17680512 17691493 + ENSDARG00000037589
7401 chr11 19854555 19888898 + ENSDARG00000037593
7402 chr8 30549470 30554924 - ENSDARG00000037598
7403 chr14 8589768 8596444 - ENSDARG00000037603
7404 chr5 62638038 62646208 + ENSDARG00000037605
7405 chr23 17391704 17516973 + ENSDARG00000037607
7406 chr17 49062209 49071517 - ENSDARG00000037613
7407 chr12 49610296 49610834 - ENSDARG00000037617
7408 chr12 49633438 49635564 + ENSDARG00000037618
7409 chr1 10841252 10849905 + ENSDARG00000037619
7410 chr1 10957101 10958420 - ENSDARG00000037621
7411 chr14 7168377 7176096 + ENSDARG00000037628
7412 chr16 34366042 34372746 + ENSDARG00000037633
7413 chr1 11591629 11630714 + ENSDARG00000037634
7414 chr14 38543 40095 - ENSDARG00000037639
7415 chr14 2647 7578 + ENSDARG00000037640
7416 chr23 17001781 17020233 + ENSDARG00000037645
7417 chr1 8963075 8990714 + ENSDARG00000037646
7418 chr1 9113528 9124598 - ENSDARG00000037647
7419 chr3 5379838 5382543 + ENSDARG00000037649
7420 chr1 8949379 8961410 - ENSDARG00000037652
7421 chr1 8936465 8942940 + ENSDARG00000037654
7422 chr14 13711343 13783237 + ENSDARG00000037655
7423 chr17 47971671 47976299 + ENSDARG00000037656
7424 chr14 1595493 1640370 + ENSDARG00000037660
7425 chr4 29641621 29661821 + ENSDARG00000037665
7426 chr14 5594201 5648591 - ENSDARG00000037675
7427 chr14 5513975 5552666 - ENSDARG00000037677
7428 chr1 9859946 9872706 + ENSDARG00000037679
7429 chr14 3003519 3005924 + ENSDARG00000037682
7430 chr14 2499646 2502036 + ENSDARG00000037691
7431 chr14 2389106 2391457 + ENSDARG00000037695
7432 chr23 14855077 14881513 - ENSDARG00000037706
7433 chr23 14883969 14915791 + ENSDARG00000037708
7434 chr1 6497301 6501557 - ENSDARG00000037713
7435 chr1 54184472 54217570 - ENSDARG00000037734
7436 chr14 23374720 23388744 - ENSDARG00000037738
7437 chr1 7615755 7629382 - ENSDARG00000037739
7438 chr1 7725183 7728816 - ENSDARG00000037746
7439 chr1 7738614 7744635 + ENSDARG00000037747
7440 chr1 45046970 45093536 - ENSDARG00000037748
7441 chr1 8060152 8064588 + ENSDARG00000037758
7442 chr1 8366187 8370199 + ENSDARG00000037760
7443 chr23 10868912 10892628 - ENSDARG00000037773
7444 chr1 4311593 4323415 + ENSDARG00000037777
7445 chr23 9337461 9395335 + ENSDARG00000037781
7446 chr3 63059983 63065815 - ENSDARG00000037782
7447 chr3 63044926 63055718 - ENSDARG00000037783
7448 chr3 61802777 61814598 - ENSDARG00000037789
7449 chr3 61763106 61771637 - ENSDARG00000037790
7450 chr3 62275125 62302025 + ENSDARG00000037794
7451 chr23 5806309 5809109 - ENSDARG00000037804
7452 chr3 58513134 58525599 - ENSDARG00000037805
7453 chr23 4402718 4421712 + ENSDARG00000037810
7454 chr23 4277416 4294628 + ENSDARG00000037813
7455 chr23 4072976 4121579 + ENSDARG00000037815
7456 chr23 3588351 3590557 + ENSDARG00000037819
7457 chr13 53649101 53655282 + ENSDARG00000037832
7458 chr23 730122 781915 - ENSDARG00000037833
7459 chr3 46418199 46422260 + ENSDARG00000037835
7460 chr3 45883120 45886370 - ENSDARG00000037836
7461 chr23 594434 604464 + ENSDARG00000037837
7462 chr3 45816923 45856474 + ENSDARG00000037838
7463 chr17 758925 766504 - ENSDARG00000037840
7464 chr10 3136440 3145057 + ENSDARG00000037843
7465 chr3 42515674 42528302 + ENSDARG00000037844
7466 chr23 511730 540996 - ENSDARG00000037845
7467 chr23 496639 509600 - ENSDARG00000037846
7468 chr23 399998 413486 + ENSDARG00000037852
7469 chr23 325279 331653 + ENSDARG00000037855
7470 chr3 43657886 43692220 - ENSDARG00000037857
7471 chr16 14359727 14366281 + ENSDARG00000037859
7472 chr16 14255372 14263036 - ENSDARG00000037860
7473 chr16 14225690 14244860 - ENSDARG00000037861
7474 chr3 39574175 39594121 + ENSDARG00000037865
7475 chr3 40291567 40296249 - ENSDARG00000037867
7476 chr3 40520889 40524586 - ENSDARG00000037870
7477 chr3 40815404 40832107 - ENSDARG00000037871
7478 chr3 40896525 40928197 - ENSDARG00000037872
7479 chr3 40942743 40950564 - ENSDARG00000037873
7480 chr3 40953652 40960378 - ENSDARG00000037874
7481 chr3 41912281 41921651 + ENSDARG00000037879
7482 chr3 38990140 38990868 + ENSDARG00000037882
7483 chr15 10338952 10424397 - ENSDARG00000037883
7484 chr15 10429168 10462341 - ENSDARG00000037884
7485 chr3 37569667 37576402 + ENSDARG00000037889
7486 chr3 37130298 37143376 - ENSDARG00000037891
7487 chr3 37107475 37130351 + ENSDARG00000037892
7488 chr3 36854483 36887433 + ENSDARG00000037894
7489 chr3 36831493 36841278 - ENSDARG00000037895
7490 chr3 36732797 36762973 + ENSDARG00000037897
7491 chr3 36708976 36731172 + ENSDARG00000037898
7492 chr3 36506574 36519377 - ENSDARG00000037900
7493 chr8 55564717 55584308 - ENSDARG00000037904
7494 chr3 33876944 33986779 - ENSDARG00000037905
7495 chr3 34003806 34007446 + ENSDARG00000037906
7496 chr3 34266131 34267883 + ENSDARG00000037909
7497 chr11 46291044 46293686 + ENSDARG00000037910
7498 chr3 34683037 34684958 - ENSDARG00000037913
7499 chr3 34737440 34742041 - ENSDARG00000037914
7500 chr3 34906623 34907616 + ENSDARG00000037916
7501 chr3 34931497 35002337 + ENSDARG00000037917
7502 chr3 35491691 35506490 + ENSDARG00000037919
7503 chr3 35674508 35687529 - ENSDARG00000037921
7504 chr3 36331697 36364021 - ENSDARG00000037924
7505 chr3 36365695 36388864 + ENSDARG00000037925
7506 Zv9_scaffold3545 5287 107869 + ENSDARG00000037926
7507 chr3 32016418 32029984 - ENSDARG00000037928
7508 chr3 32034005 32054366 + ENSDARG00000037929
7509 chr3 32056018 32061619 - ENSDARG00000037930
7510 chr3 32070869 32081685 + ENSDARG00000037932
7511 chr24 38522346 38682990 + ENSDARG00000037933
7512 chr3 32217379 32235491 + ENSDARG00000037935
7513 chr3 32279358 32288143 + ENSDARG00000037941
7514 chr3 32362282 32427072 - ENSDARG00000037943
7515 chr3 32478893 32482876 + ENSDARG00000037946
7516 chr3 32294116 32307854 - ENSDARG00000037954
7517 chr3 32309510 32317809 - ENSDARG00000037955
7518 chr3 32669572 32673354 + ENSDARG00000037958
7519 chr4 19076881 19091775 - ENSDARG00000037960
7520 chr3 32672962 32678048 - ENSDARG00000037961
7521 chr21 7841684 7852005 + ENSDARG00000037962
7522 chr21 7855763 7897154 - ENSDARG00000037963
7523 chr21 7907455 7922273 - ENSDARG00000037964
7524 chr3 32768348 32787254 + ENSDARG00000037965
7525 chr3 32788673 32795412 + ENSDARG00000037966
7526 chr3 32800841 32806071 + ENSDARG00000037967
7527 chr3 32835397 32848256 + ENSDARG00000037968
7528 chr3 31329118 31340458 + ENSDARG00000037978
7529 chr3 31220395 31230365 - ENSDARG00000037980
